Time,O,H,L,C
1133,12328.24,12333.84,12328.24,12333.28
1134,12333.76,12335.05,12330.88,12330.88
1135,12331.52,12333.84,12329.68,12330.08
1136,12330.16,12335.05,12330.08,12335.05
1137,12335.45,12339.93,12335.45,12339.69
1138,12339.61,12339.61,12334.16,12334.16
1139,12333.92,12335.77,12333.44,12334.4
1140,12334.89,12335.45,12330.8,12334.57
1141,12334.32,12334.4,12331.04,12331.36
1142,12330.24,12330.24,12324.63,12325.19
1143,12325.03,12326.23,12311.17,12314.7
1144,12311.57,12312.37,12290.18,12290.18
1145,12291.46,12302.76,12291.46,12301.32
1146,12301.64,12305.4,12288.9,12288.9
1147,12289.22,12294.67,12277.93,12280.33
1148,12279.37,12279.77,12251.25,12251.25
1149,12251.17,12265.11,12243.32,12265.03
1150,12264.71,12282.25,12262.7,12276.72
1151,12278.41,12289.14,12275.84,12288.66
1152,12287.78,12297.31,12278.57,12278.73
1153,12278.49,12283.85,12274.48,12283.85
1154,12284.09,12298.03,12279.93,12296.99
1155,12296.51,12297.55,12286.42,12292.75
1156,12294.11,12315.1,12294.11,12315.1
1157,12317.26,12317.98,12303.4,12304.6
1158,12305.4,12315.26,12305.4,12315.26
1159,12314.78,12318.22,12302.2,12302.68
1200,12303.24,12306.53,12301.56,12306.53
1201,12304.2,12306.61,12288.02,12289.78
1202,12291.06,12294.59,12286.34,12289.54
1203,12289.7,12296.11,12286.42,12293.95
1204,12294.51,12298.84,12292.59,12292.59
1205,12293.55,12301.8,12293.55,12298.03
1206,12298.43,12298.43,12291.54,12291.71
1207,12291.79,12300.68,12291.79,12299.16
1208,12299,12306.37,12298.75,12306.37
1209,12306.29,12312.77,12306.29,12308.53
1210,12308.45,12309.89,12304.2,12304.2
1211,12304.6,12307.09,12302.52,12305.08
1212,12305.32,12305.88,12300.68,12300.68
1213,12300.92,12303.88,12300.92,12302.84
1214,12302.92,12302.92,12297.23,12298.59
1215,12298.92,12301.08,12294.43,12300.36
1216,12300.44,12300.68,12291.87,12292.03
1217,12291.62,12295.47,12291.62,12292.19
1218,12292.03,12294.35,12290.5,12294.35
1219,12294.59,12302.84,12294.51,12298.03
1220,12297.95,12309.01,12297.71,12306.37
1221,12306.45,12308.05,12305,12305.64
1222,12305.72,12306.37,12304.2,12305.8
1223,12306.05,12309.73,12306.05,12309.57
1224,12309.49,12310.85,12302.28,12303.24
1225,12303.56,12305,12301.56,12301.56
1226,12301.72,12309.73,12301.72,12306.85
1227,12306.21,12307.09,12303.48,12304.52
1228,12304.68,12308.53,12304.68,12308.53
1229,12308.45,12308.45,12301.8,12302.84
1230,12303,12306.61,12302.44,12306.05
1231,12306.37,12308.53,12304.2,12306.45
1232,12306.53,12308.93,12306.21,12308.93
1233,12308.85,12317.5,12308.85,12316.22
1234,12315.9,12325.91,12315.66,12324.79
1235,12324.31,12325.91,12323.99,12324.23
1236,12324.07,12326.95,12324.07,12324.71
1237,12324.95,12326.47,12324.87,12325.91
1238,12325.51,12330.8,12325.27,12330
1239,12330.16,12330.56,12327.6,12327.6
1240,12327.03,12327.03,12325.19,12326.39
1241,12326.55,12326.55,12323.75,12325.51
1242,12325.67,12325.91,12323.83,12325.91
1243,12325.83,12325.83,12318.54,12318.54
1244,12318.62,12322.55,12318.62,12322.31
1245,12322.39,12322.55,12319.5,12319.5
1246,12319.42,12319.42,12307.97,12309.25
1247,12309.01,12313.34,12307.41,12311.25
1248,12311.41,12314.7,12311.25,12314.54
1249,12314.38,12316.62,12313.42,12313.58
1250,12313.74,12315.74,12313.58,12315.42
1251,12315.18,12315.26,12310.77,12312.85
1252,12312.61,12315.34,12312.61,12315.02
1253,12315.18,12317.74,12314.7,12315.42
1254,12315.5,12315.74,12312.69,12313.01
1255,12313.5,12313.5,12303.08,12305
1256,12305.08,12305.64,12302.92,12305.24
1257,12305.16,12308.53,12305.16,12307.57
1258,12307.49,12310.37,12307.17,12307.25
1259,12307.41,12312.61,12306.61,12312.61
1300,12312.77,12313.01,12310.61,12310.93
1301,12310.85,12311.33,12310.05,12311.25
1302,12311.33,12311.97,12310.05,12311.81
1303,12312.37,12315.66,12309.01,12309.33
1304,12308.93,12310.21,12307.89,12310.21
1305,12310.13,12312.93,12310.05,12312.93
1306,12313.1,12313.5,12311.25,12311.57
1307,12311.97,12318.06,12311.97,12318.06
1308,12318.62,12326.71,12318.62,12326.71
1309,12328.08,12329.68,12323.83,12324.95
1310,12324.79,12326.47,12321.03,12321.03
1311,12320.87,12322.63,12320.87,12321.75
1312,12321.91,12323.59,12321.91,12322.07
1313,12322.23,12322.23,12317.02,12318.06
1314,12318.14,12318.14,12316.78,12317.18
1315,12317.42,12318.54,12317.26,12318.38
1316,12318.3,12318.7,12317.1,12318.7
1317,12319.02,12320.87,12318.86,12320.87
1318,12321.11,12321.75,12319.42,12320.95
