Date,Open,High,Low,Close,moving_average(att1),change(att1),change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,att1,Pred,PrevClose,Diff,ActDiff
12/01/2010,4970.8,4972.0,4926.1,4931.6,4951.666666666667,-49.599999999999454,39.0,11.699999999999818,-16.300000000000182,4951.3,4939.833333333333,4938.933333333333,4925.366666666666,4981.2,4942.2,4930.5,7.0,4931.6,4938.448574632247,,,
13/01/2010,4919.6,4920.3,4885.1,4900.1,4937.633333333333,-31.5,-49.599999999999454,39.0,11.699999999999818,4951.666666666667,4951.3,4939.833333333333,4938.933333333333,4931.6,4981.2,4942.2,8.0,4900.1,4905.829531278052,4931.6,25.77046872194842,31.5
14/01/2010,4906.7,4949.9,4906.0,4929.4,4920.366666666667,29.299999999999272,-31.5,-49.599999999999454,39.0,4937.633333333333,4951.666666666667,4951.3,4939.833333333333,4900.1,4931.6,4981.2,9.0,4929.4,4935.3331616671385,4900.1,-35.23316166713812,-29.299999999999272
15/01/2010,4928.3,4938.7,4893.2,4929.5,4919.666666666667,0.1000000000003638,29.299999999999272,-31.5,-49.599999999999454,4920.366666666667,4937.633333333333,4951.666666666667,4951.3,4929.4,4900.1,4931.6,10.0,4929.5,4935.530020674553,4929.4,-6.130020674553634,-0.1000000000003638
18/01/2010,4921.3,4941.6,4896.3,4936.1,4931.666666666667,6.600000000000364,0.1000000000003638,29.299999999999272,-31.5,4919.666666666667,4920.366666666667,4937.633333333333,4951.666666666667,4929.5,4929.4,4900.1,11.0,4936.1,4942.555490038093,4929.5,-13.055490038093012,-6.600000000000364
19/01/2010,4939.3,4953.2,4889.6,4889.6,4918.400000000001,-46.5,6.600000000000364,0.1000000000003638,29.299999999999272,4931.666666666667,4919.666666666667,4920.366666666667,4937.633333333333,4936.1,4929.5,4929.4,12.0,4889.6,4894.567741742497,4936.1,41.5322582575036,46.5
20/01/2010,4901.8,4932.7,4893.4,4895.1,4906.933333333333,5.5,-46.5,6.600000000000364,0.1000000000003638,4918.400000000001,4931.666666666667,4919.666666666667,4920.366666666667,4889.6,4936.1,4929.5,13.0,4895.1,4900.22286976835,4889.6,-10.622869768350029,-5.5
21/01/2010,4882.6,4883.0,4845.1,4849.6,4878.1,-45.5,5.5,-46.5,6.600000000000364,4906.933333333333,4918.400000000001,4931.666666666667,4919.666666666667,4895.1,4889.6,4936.1,14.0,4849.6,4854.755485435876,4895.1,40.34451456412444,45.5
22/01/2010,4819.6,4819.6,4740.7,4771.9,4838.866666666667,-77.70000000000073,-45.5,5.5,-46.5,4878.1,4906.933333333333,4918.400000000001,4931.666666666667,4849.6,4895.1,4889.6,15.0,4771.9,4775.054020321702,4849.6,74.54597967829795,77.70000000000073
25/01/2010,4749.9,4750.5,4702.6,4743.1,4788.2,-28.799999999999272,-77.70000000000073,-45.5,5.5,4838.866666666667,4878.1,4906.933333333333,4918.400000000001,4771.9,4849.6,4895.1,16.0,4743.1,4745.829876076012,4771.9,26.07012392398792,28.799999999999272
