Date,Open,High,Low,Close,moving_average(att1),change(att1),change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,att1,Pred,PrevClose,Diff,ActDiff
12/01/2010,5538.1,5549.6,5459.9,5498.7,5523.666666666667,-39.400000000000546,3.9000000000005457,7.5,-3.300000000000182,5533.0,5530.3,5526.400000000001,5517.599999999999,5538.1,5534.2,5526.7,7.0,5498.7,5506.720762511395,,,
13/01/2010,5498.7,5509.7,5450.9,5473.5,5503.433333333333,-25.199999999999818,-39.400000000000546,3.9000000000005457,7.5,5523.666666666667,5533.0,5530.3,5526.400000000001,5498.7,5538.1,5534.2,8.0,5473.5,5481.4707520693255,5498.7,17.22924793067432,25.199999999999818
14/01/2010,5473.5,5521.9,5473.5,5498.2,5490.133333333334,24.699999999999818,-25.199999999999818,-39.400000000000546,3.9000000000005457,5503.433333333333,5523.666666666667,5533.0,5530.3,5473.5,5498.7,5538.1,9.0,5498.2,5507.748133470483,5473.5,-34.24813347048257,-24.699999999999818
15/01/2010,5498.2,5527.0,5450.4,5455.4,5475.7,-42.80000000000018,24.699999999999818,-25.199999999999818,-39.400000000000546,5490.133333333334,5503.433333333333,5523.666666666667,5533.0,5498.2,5473.5,5498.7,10.0,5455.4,5461.733564102245,5498.2,36.46643589775522,42.80000000000018
18/01/2010,5455.4,5504.0,5454.3,5494.4,5482.666666666667,39.0,-42.80000000000018,24.699999999999818,-25.199999999999818,5475.7,5490.133333333334,5503.433333333333,5523.666666666667,5455.4,5498.2,5473.5,11.0,5494.4,5509.106868591691,5455.4,-53.70686859169109,-39.0
19/01/2010,5494.4,5531.9,5431.3,5513.1,5487.633333333334,18.700000000000728,39.0,-42.80000000000018,24.699999999999818,5482.666666666667,5475.7,5490.133333333334,5503.433333333333,5494.4,5455.4,5498.2,12.0,5513.1,5528.86297226589,5494.4,-34.46297226589013,-18.700000000000728
20/01/2010,5513.1,5513.1,5404.0,5420.8,5476.099999999999,-92.30000000000018,18.700000000000728,39.0,-42.80000000000018,5487.633333333334,5482.666666666667,5475.7,5490.133333333334,5513.1,5494.4,5455.4,13.0,5420.8,5424.07355124596,5513.1,89.02644875404076,92.30000000000018
21/01/2010,5420.8,5468.4,5331.6,5335.1,5423.000000000001,-85.69999999999982,-92.30000000000018,18.700000000000728,39.0,5476.099999999999,5487.633333333334,5482.666666666667,5475.7,5420.8,5513.1,5494.4,14.0,5335.1,5337.586780515258,5420.8,83.21321948474178,85.69999999999982
22/01/2010,5335.1,5345.6,5253.0,5303.0,5352.966666666667,-32.100000000000364,-85.69999999999982,-92.30000000000018,18.700000000000728,5423.000000000001,5476.099999999999,5487.633333333334,5482.666666666667,5335.1,5420.8,5513.1,15.0,5303.0,5297.9681811078735,5335.1,37.13181889212683,32.100000000000364
25/01/2010,5303.0,5330.6,5252.9,5260.3,5299.466666666667,-42.69999999999982,-32.100000000000364,-85.69999999999982,-92.30000000000018,5352.966666666667,5423.000000000001,5476.099999999999,5487.633333333334,5303.0,5335.1,5420.8,16.0,5260.3,5252.64215565661,5303.0,50.35784434338984,42.69999999999982
