Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,att1,Pred,PrevClose,Diff,ActDiff
12/01/2010,5538.1,5549.6,5459.9,5498.7,3.9000000000005457,7.5,-3.300000000000182,5533.0,5530.3,5526.400000000001,5517.599999999999,5538.1,5534.2,5526.7,7.0,5498.7,5524.4,,,
13/01/2010,5498.7,5509.7,5450.9,5473.5,-39.400000000000546,3.9000000000005457,7.5,5523.666666666667,5533.0,5530.3,5526.400000000001,5498.7,5538.1,5534.2,8.0,5473.5,5509.926666666666,5498.7,-11.22666666666646,25.199999999999818
14/01/2010,5473.5,5521.9,5473.5,5498.2,-25.199999999999818,-39.400000000000546,3.9000000000005457,5503.433333333333,5523.666666666667,5533.0,5530.3,5473.5,5498.7,5538.1,9.0,5498.2,5488.886666666666,5473.5,-15.386666666666315,-24.699999999999818
15/01/2010,5498.2,5527.0,5450.4,5455.4,24.699999999999818,-25.199999999999818,-39.400000000000546,5490.133333333334,5503.433333333333,5523.666666666667,5533.0,5498.2,5473.5,5498.7,10.0,5455.4,5488.866666666667,5498.2,9.33333333333303,42.80000000000018
18/01/2010,5455.4,5504.0,5454.3,5494.4,-42.80000000000018,24.699999999999818,-25.199999999999818,5475.7,5490.133333333334,5503.433333333333,5523.666666666667,5455.4,5498.2,5473.5,11.0,5494.4,5472.666666666667,5455.4,-17.266666666667334,-39.0
19/01/2010,5494.4,5531.9,5431.3,5513.1,39.0,-42.80000000000018,24.699999999999818,5482.666666666667,5475.7,5490.133333333334,5503.433333333333,5494.4,5455.4,5498.2,12.0,5513.1,5481.453333333333,5494.4,12.946666666666715,-18.700000000000728
20/01/2010,5513.1,5513.1,5404.0,5420.8,18.700000000000728,39.0,-42.80000000000018,5487.633333333334,5482.666666666667,5475.7,5490.133333333334,5513.1,5494.4,5455.4,13.0,5420.8,5494.346666666666,5513.1,18.753333333334012,92.30000000000018
21/01/2010,5420.8,5468.4,5331.6,5335.1,-92.30000000000018,18.700000000000728,39.0,5476.099999999999,5487.633333333334,5482.666666666667,5475.7,5420.8,5513.1,5494.4,14.0,5335.1,5451.506666666667,5420.8,-30.706666666666933,85.69999999999982
22/01/2010,5335.1,5345.6,5253.0,5303.0,-85.69999999999982,-92.30000000000018,18.700000000000728,5423.000000000001,5476.099999999999,5487.633333333334,5482.666666666667,5335.1,5420.8,5513.1,15.0,5303.0,5383.3533333333335,5335.1,-48.2533333333331,32.100000000000364
25/01/2010,5303.0,5330.6,5252.9,5260.3,-32.100000000000364,-85.69999999999982,-92.30000000000018,5352.966666666667,5423.000000000001,5476.099999999999,5487.633333333334,5303.0,5335.1,5420.8,16.0,5260.3,5348.873333333333,5303.0,-45.873333333332994,42.69999999999982
26/01/2010,5260.3,5276.9,5215.7,5276.9,-42.69999999999982,-32.100000000000364,-85.69999999999982,5299.466666666667,5352.966666666667,5423.000000000001,5476.099999999999,5260.3,5303.0,5335.1,17.0,5276.9,5336.36,5260.3,-76.05999999999949,-16.599999999999454
27/01/2010,5276.9,5276.9,5192.6,5217.5,16.599999999999454,-42.69999999999982,-32.100000000000364,5280.066666666667,5299.466666666667,5352.966666666667,5423.000000000001,5276.9,5260.3,5303.0,18.0,5217.5,5285.366666666667,5276.9,-8.466666666667152,59.399999999999636
28/01/2010,5217.5,5280.4,5145.7,5145.7,-59.399999999999636,16.599999999999454,-42.69999999999982,5251.566666666667,5280.066666666667,5299.466666666667,5352.966666666667,5217.5,5276.9,5260.3,19.0,5145.7,5219.1866666666665,5217.5,-1.686666666666497,71.80000000000018
29/01/2010,5145.7,5230.2,5145.7,5188.5,-71.80000000000018,-59.399999999999636,16.599999999999454,5213.366666666666,5251.566666666667,5280.066666666667,5299.466666666667,5145.7,5217.5,5276.9,20.0,5188.5,5208.586666666666,5145.7,-62.886666666666315,-42.80000000000018
01/02/2010,5188.5,5250.1,5163.6,5247.4,42.80000000000018,-71.80000000000018,-59.399999999999636,5183.900000000001,5213.366666666666,5251.566666666667,5280.066666666667,5188.5,5145.7,5217.5,21.0,5247.4,5189.573333333334,5188.5,-1.0733333333337214,-58.899999999999636
02/02/2010,5247.4,5289.0,5208.2,5283.3,58.899999999999636,42.80000000000018,-71.80000000000018,5193.866666666667,5183.900000000001,5213.366666666666,5251.566666666667,5247.4,5188.5,5145.7,22.0,5283.3,5228.380000000001,5247.4,19.019999999998618,-35.900000000000546
03/02/2010,5283.3,5305.4,5237.7,5253.1,35.900000000000546,58.899999999999636,42.80000000000018,5239.733333333334,5193.866666666667,5183.900000000001,5213.366666666666,5283.3,5247.4,5188.5,23.0,5253.1,5257.746666666665,5283.3,25.553333333335104,30.199999999999818
04/02/2010,5253.1,5262.2,5123.9,5139.3,-30.199999999999818,35.900000000000546,58.899999999999636,5261.266666666667,5239.733333333334,5193.866666666667,5183.900000000001,5253.1,5283.3,5247.4,24.0,5139.3,5233.3933333333325,5253.1,19.706666666667843,113.80000000000018
