Date,Open,High,Low,Close,moving_average(att1),change(att1),change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,att1,Pred,PrevClose,Diff,ActDiff
13/01/2010,10795.48,10866.62,10729.86,10735.03,10804.163333333332,-144.10999999999876,80.81999999999971,116.65999999999985,-49.79000000000087,10786.373333333333,10737.143333333333,10698.313333333334,10689.356666666668,10879.14,10798.32,10681.66,7.0,10735.03,10701.587736499057,,,
14/01/2010,10778.07,10909.94,10774.25,10907.68,10840.616666666667,172.64999999999964,-144.10999999999876,80.81999999999971,116.65999999999985,10804.163333333332,10786.373333333333,10737.143333333333,10698.313333333334,10735.03,10879.14,10798.32,8.0,10907.68,10880.480668161641,10735.03,-145.45066816164035,-172.64999999999964
15/01/2010,10917.41,10982.1,10878.83,10982.1,10874.936666666666,74.42000000000007,172.64999999999964,-144.10999999999876,80.81999999999971,10840.616666666667,10804.163333333332,10786.373333333333,10737.143333333333,10907.68,10735.03,10879.14,9.0,10982.1,10948.232726899407,10907.68,-40.55272689940648,-74.42000000000007
18/01/2010,10887.61,10895.1,10781.03,10855.08,10914.953333333333,-127.02000000000044,74.42000000000007,172.64999999999964,-144.10999999999876,10874.936666666666,10840.616666666667,10804.163333333332,10786.373333333333,10982.1,10907.68,10735.03,10.0,10855.08,10819.644954234249,10982.1,162.4550457657515,127.02000000000044
19/01/2010,10866.83,10866.83,10749.47,10764.9,10867.36,-90.18000000000029,-127.02000000000044,74.42000000000007,172.64999999999964,10914.953333333333,10874.936666666666,10840.616666666667,10804.163333333332,10855.08,10982.1,10907.68,11.0,10764.9,10739.018590773205,10855.08,116.06140922679515,90.18000000000029
20/01/2010,10834.91,10860.93,10724.57,10737.52,10785.833333333334,-27.3799999999992,-90.18000000000029,-127.02000000000044,74.42000000000007,10867.36,10914.953333333333,10874.936666666666,10840.616666666667,10764.9,10855.08,10982.1,12.0,10737.52,10699.389302409092,10764.9,65.51069759090751,27.3799999999992
21/01/2010,10704.79,10886.64,10649.84,10868.41,10790.276666666667,130.88999999999942,-27.3799999999992,-90.18000000000029,-127.02000000000044,10785.833333333334,10867.36,10914.953333333333,10874.936666666666,10737.52,10764.9,10855.08,13.0,10868.41,10832.511662083845,10737.52,-94.99166208384486,-130.88999999999942
22/01/2010,10740.21,10768.07,10528.33,10590.55,10732.16,-277.8600000000006,130.88999999999942,-27.3799999999992,-90.18000000000029,10790.276666666667,10785.833333333334,10867.36,10914.953333333333,10868.41,10737.52,10764.9,14.0,10590.55,10561.276214785152,10868.41,307.1337852148481,277.8600000000006
25/01/2010,10478.31,10557.64,10414.58,10512.69,10657.216666666667,-77.85999999999876,-277.8600000000006,130.88999999999942,-27.3799999999992,10732.16,10790.276666666667,10785.833333333334,10867.36,10590.55,10868.41,10737.52,15.0,10512.69,10484.714315622,10590.55,105.8356843779984,77.85999999999876
26/01/2010,10506.15,10566.49,10324.98,10325.28,10476.173333333332,-187.40999999999985,-77.85999999999876,-277.8600000000006,130.88999999999942,10657.216666666667,10732.16,10790.276666666667,10785.833333333334,10512.69,10590.55,10868.41,16.0,10325.28,10294.263465645816,10512.69,218.4265343541847,187.40999999999985
27/01/2010,10344.07,10373.82,10252.08,10252.08,10363.35,-73.20000000000073,-187.40999999999985,-77.85999999999876,-277.8600000000006,10476.173333333332,10657.216666666667,10732.16,10790.276666666667,10325.28,10512.69,10590.55,17.0,10252.08,10214.078672267162,10325.28,111.20132773283876,73.20000000000073
28/01/2010,10309.73,10462.7,10296.98,10414.29,10330.550000000001,162.21000000000095,-73.20000000000073,-187.40999999999985,-77.85999999999876,10363.35,10476.173333333332,10657.216666666667,10732.16,10252.08,10325.28,10512.69,18.0,10414.29,10392.901543691762,10252.08,-140.8215436917617,-162.21000000000095
29/01/2010,10308.05,10324.37,10198.04,10198.04,10288.136666666667,-216.25,162.21000000000095,-73.20000000000073,-187.40999999999985,10330.550000000001,10363.35,10476.173333333332,10657.216666666667,10414.29,10252.08,10325.28,19.0,10198.04,10171.544709095211,10414.29,242.74529090478973,216.25
01/02/2010,10212.36,10224.83,10129.91,10205.02,10272.45,6.979999999999563,-216.25,162.21000000000095,-73.20000000000073,10288.136666666667,10330.550000000001,10363.35,10476.173333333332,10198.04,10414.29,10252.08,20.0,10205.02,10184.026926800612,10198.04,14.0130731993886,-6.979999999999563
02/02/2010,10310.98,10396.48,10287.74,10371.09,10258.050000000001,166.0699999999997,6.979999999999563,-216.25,162.21000000000095,10272.45,10288.136666666667,10330.550000000001,10363.35,10205.02,10198.04,10414.29,21.0,10371.09,10346.780814484111,10205.02,-141.7608144841106,-166.0699999999997
03/02/2010,10428.12,10436.52,10356.03,10404.33,10326.813333333334,33.23999999999978,166.0699999999997,6.979999999999563,-216.25,10258.050000000001,10272.45,10288.136666666667,10330.550000000001,10371.09,10205.02,10198.04,22.0,10404.33,10368.714890839767,10371.09,2.375109160233478,-33.23999999999978
04/02/2010,10434.52,10438.41,10279.57,10355.98,10377.133333333333,-48.350000000000364,33.23999999999978,166.0699999999997,6.979999999999563,10326.813333333334,10258.050000000001,10272.45,10288.136666666667,10404.33,10371.09,10205.02,23.0,10355.98,10335.067074294293,10404.33,69.26292570570695,48.350000000000364
05/02/2010,10162.34,10166.3,10036.33,10057.09,10272.466666666665,-298.8899999999994,-48.350000000000364,33.23999999999978,166.0699999999997,10377.133333333333,10326.813333333334,10258.050000000001,10272.45,10355.98,10404.33,10371.09,24.0,10057.09,10030.779928639467,10355.98,325.2000713605321,298.8899999999994
08/02/2010,10007.47,10063.53,9942.05,9951.82,10121.63,-105.27000000000044,-298.8899999999994,-48.350000000000364,33.23999999999978,10272.466666666665,10377.133333333333,10326.813333333334,10258.050000000001,10057.09,10355.98,10404.33,25.0,9951.82,9918.324284508808,10057.09,138.76571549119217,105.27000000000044
09/02/2010,9876.61,9956.79,9867.39,9932.9,9980.603333333333,-18.920000000000073,-105.27000000000044,-298.8899999999994,-48.350000000000364,10121.63,10272.466666666665,10377.133333333333,10326.813333333334,9951.82,10057.09,10355.98,26.0,9932.9,9902.947278911926,9951.82,48.87272108807338,18.920000000000073
10/02/2010,10024.26,10049.87,9963.99,9963.99,9949.57,31.090000000000146,-18.920000000000073,-105.27000000000044,-298.8899999999994,9980.603333333333,10121.63,10272.466666666665,10377.133333333333,9932.9,9951.82,10057.09,27.0,9963.99,9937.787460059439,9932.9,-4.887460059439036,-31.090000000000146
12/02/2010,10085.35,10099.46,10014.5,10092.19,9996.36,128.20000000000073,31.090000000000146,-18.920000000000073,-105.27000000000044,9949.57,9980.603333333333,10121.63,10272.466666666665,9963.99,9932.9,9951.82,28.0,10092.19,10077.53282382174,9963.99,-113.54282382174097,-128.20000000000073
15/02/2010,10097.82,10119.47,10012.53,10013.3,10023.16,-78.89000000000124,128.20000000000073,31.090000000000146,-18.920000000000073,9996.36,9949.57,9980.603333333333,10121.63,10092.19,9963.99,9932.9,29.0,10013.3,9993.868329145282,10092.19,98.32167085471883,78.89000000000124
16/02/2010,10044.53,10062.27,10019.43,10034.25,10046.58,20.950000000000728,-78.89000000000124,128.20000000000073,31.090000000000146,10023.16,9996.36,9949.57,9980.603333333333,10013.3,10092.19,9963.99,30.0,10034.25,10011.10175245454,10013.3,2.1982475454587984,-20.950000000000728
17/02/2010,10161.72,10306.83,10150.24,10306.83,10118.126666666665,272.5799999999999,20.950000000000728,-78.89000000000124,128.20000000000073,10046.58,10023.16,9996.36,9949.57,10034.25,10013.3,10092.19,31.0,10306.83,10280.386829929228,10034.25,-246.13682992922804,-272.5799999999999
18/02/2010,10324.98,10340.38,10285.05,10335.69,10225.590000000002,28.860000000000582,272.5799999999999,20.950000000000728,-78.89000000000124,10118.126666666665,10046.58,10023.16,9996.36,10306.83,10034.25,10013.3,32.0,10335.69,10303.351045029347,10306.83,3.4789549706529215,-28.860000000000582
19/02/2010,10334.4,10354.42,10123.58,10123.58,10255.366666666667,-212.11000000000058,28.860000000000582,272.5799999999999,20.950000000000728,10225.590000000002,10118.126666666665,10046.58,10023.16,10335.69,10306.83,10034.25,33.0,10123.58,10099.683729623284,10335.69,236.0062703767162,212.11000000000058
22/02/2010,10302.07,10449.75,10298.15,10400.47,10286.58,276.8899999999994,-212.11000000000058,28.860000000000582,272.5799999999999,10255.366666666667,10225.590000000002,10118.126666666665,10046.58,10123.58,10335.69,10306.83,34.0,10400.47,10374.617323628907,10123.58,-251.03732362890696,-276.8899999999994
23/02/2010,10327.64,10375.55,10280.33,10352.1,10292.050000000001,-48.36999999999898,276.8899999999994,-212.11000000000058,28.860000000000582,10286.58,10255.366666666667,10225.590000000002,10118.126666666665,10400.47,10123.58,10335.69,35.0,10352.1,10312.48064447374,10400.47,87.9893555262588,48.36999999999898
24/02/2010,10205.15,10243.2,10129.65,10198.83,10317.133333333333,-153.27000000000044,-48.36999999999898,276.8899999999994,-212.11000000000058,10292.050000000001,10286.58,10255.366666666667,10225.590000000002,10352.1,10400.47,10123.58,36.0,10198.83,10167.24538500317,10352.1,184.8546149968297,153.27000000000044
25/02/2010,10256.1,10267.43,10087.21,10101.96,10217.63,-96.8700000000008,-153.27000000000044,-48.36999999999898,276.8899999999994,10317.133333333333,10292.050000000001,10286.58,10255.366666666667,10198.83,10352.1,10400.47,37.0,10101.96,10083.188189706567,10198.83,115.64181029343308,96.8700000000008
26/02/2010,10107.08,10171.22,10085.13,10126.03,10142.273333333333,24.070000000001528,-96.8700000000008,-153.27000000000044,-48.36999999999898,10217.63,10317.133333333333,10292.050000000001,10286.58,10101.96,10198.83,10352.1,38.0,10126.03,10088.089174243703,10101.96,13.870825756295744,-24.070000000001528
