Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,UD,pred,pl
11/01/2000,5726.51,5726.51,5571.99,5613.9,106.51000000000022,89.5,-29.590000000000146,5545.28,5489.806666666666,5533.943333333334,5689.696666666667,5646.12,5539.61,5450.11,7.0,0.0,0.5298350126145843,-112.61000000000058
12/01/2000,5541.23,5628.73,5536.5,5582.5,-32.220000000000255,106.51000000000022,89.5,5599.876666666666,5545.28,5489.806666666666,5533.943333333334,5613.9,5646.12,5539.61,8.0,1.0,0.5256686382638538,41.27000000000044
13/01/2000,5586.25,5682.27,5579.49,5633.24,-31.399999999999636,-32.220000000000255,106.51000000000022,5614.173333333333,5599.876666666666,5545.28,5489.806666666666,5582.5,5613.9,5646.12,9.0,1.0,0.48544272241970177,-46.98999999999978
14/01/2000,5669.14,5804.16,5664.71,5787.44,50.73999999999978,-31.399999999999636,-32.220000000000255,5609.88,5614.173333333333,5599.876666666666,5545.28,5633.24,5582.5,5613.9,10.0,1.0,0.45874233473445347,-118.29999999999927
17/01/2000,5834.75,5857.36,5740.19,5842.78,154.19999999999982,50.73999999999978,-31.399999999999636,5667.7266666666665,5609.88,5614.173333333333,5599.876666666666,5787.44,5633.24,5582.5,11.0,1.0,0.4145375461451266,-8.029999999999745
18/01/2000,5859.44,5859.44,5670.27,5672.95,55.340000000000146,154.19999999999982,50.73999999999978,5754.486666666667,5667.7266666666665,5609.88,5614.173333333333,5842.78,5787.44,5633.24,12.0,0.0,0.4560944718976856,186.48999999999978
19/01/2000,5664.92,5668.06,5590.19,5649.46,-169.82999999999993,55.340000000000146,154.19999999999982,5767.723333333332,5754.486666666667,5667.7266666666665,5609.88,5672.95,5842.78,5787.44,13.0,0.0,0.5026865930082831,-15.460000000000036
20/01/2000,5713.04,5727.82,5660.25,5709.74,-23.48999999999978,-169.82999999999993,55.340000000000146,5721.73,5767.723333333332,5754.486666666667,5667.7266666666665,5649.46,5672.95,5842.78,14.0,0.0,0.48235840654876405,3.300000000000182
21/01/2000,5656.1,5738.16,5630.63,5681.32,60.279999999999745,-23.48999999999978,-169.82999999999993,5677.383333333334,5721.73,5767.723333333332,5754.486666666667,5709.74,5649.46,5672.95,15.0,1.0,0.46519885185204046,-25.219999999999345
24/01/2000,5687.36,5777.68,5680.6,5690.86,-28.420000000000073,60.279999999999745,-23.48999999999978,5680.173333333333,5677.383333333334,5721.73,5767.723333333332,5681.32,5709.74,5649.46,16.0,1.0,0.4730575872372267,-3.5
25/01/2000,5601.18,5654.52,5590.17,5597.5,9.539999999999964,-28.420000000000073,60.279999999999745,5693.973333333332,5680.173333333333,5677.383333333334,5721.73,5690.86,5681.32,5709.74,17.0,0.0,0.5247455951103008,-3.680000000000291
26/01/2000,5636.61,5687.43,5618.96,5646.32,-93.35999999999967,9.539999999999964,-28.420000000000073,5656.56,5693.973333333332,5680.173333333333,5677.383333333334,5597.5,5690.86,5681.32,18.0,1.0,0.5266932689616413,9.710000000000036
27/01/2000,5671.64,5727.53,5625.23,5688.35,48.81999999999971,-93.35999999999967,9.539999999999964,5644.893333333333,5656.56,5693.973333333332,5680.173333333333,5646.32,5597.5,5690.86,19.0,1.0,0.4599342111516167,-16.710000000000036
28/01/2000,5743.2,5813.28,5696.09,5731.05,42.030000000000655,48.81999999999971,-93.35999999999967,5644.056666666666,5644.893333333333,5656.56,5693.973333333332,5688.35,5646.32,5597.5,20.0,0.0,0.5023506667381765,-12.149999999999636
31/01/2000,5677.79,5707.88,5625.72,5659.81,42.69999999999982,42.030000000000655,48.81999999999971,5688.573333333334,5644.056666666666,5644.893333333333,5656.56,5731.05,5688.35,5646.32,21.0,0.0,0.45505085146472624,17.979999999999563
01/02/2000,5700.87,5798.47,5700.87,5773.42,-71.23999999999978,42.69999999999982,42.030000000000655,5693.070000000001,5688.573333333334,5644.056666666666,5644.893333333333,5659.81,5731.05,5688.35,22.0,1.0,0.5229262298041553,72.55000000000018
02/02/2000,5814.26,5956.14,5811.36,5946.86,113.60999999999967,-71.23999999999978,42.69999999999982,5721.426666666666,5693.070000000001,5688.573333333334,5644.056666666666,5773.42,5659.81,5731.05,23.0,1.0,0.4379326253253861,-132.59999999999945
03/02/2000,6025.84,6149.67,5979.06,6149.67,173.4399999999996,113.60999999999967,-71.23999999999978,5793.363333333334,5721.426666666666,5693.070000000001,5688.573333333334,5946.86,5773.42,5659.81,24.0,1.0,0.434438552618853,-123.82999999999993
04/02/2000,6197.4,6312.42,6192.86,6275.72,202.8100000000004,173.4399999999996,113.60999999999967,5956.649999999999,5793.363333333334,5721.426666666666,5693.070000000001,6149.67,5946.86,5773.42,25.0,1.0,0.3744711476438356,-78.32000000000062
07/02/2000,6276.47,6336.68,6203.58,6203.58,126.05000000000018,202.8100000000004,173.4399999999996,6124.083333333333,5956.649999999999,5793.363333333334,5721.426666666666,6275.72,6149.67,5946.86,26.0,0.0,0.4179408572259442,72.89000000000033
08/02/2000,6252.31,6396.39,6232.95,6297.66,-72.14000000000033,126.05000000000018,202.8100000000004,6209.656666666667,6124.083333333333,5956.649999999999,5793.363333333334,6203.58,6275.72,6149.67,27.0,1.0,0.4141252472510546,-45.349999999999454
09/02/2000,6390.79,6396.97,6240.07,6271.6,94.07999999999993,-72.14000000000033,126.05000000000018,6258.986666666667,6209.656666666667,6124.083333333333,5956.649999999999,6297.66,6203.58,6275.72,28.0,0.0,0.3853382600720314,119.1899999999996
10/02/2000,6212.56,6250.72,6168.66,6207.52,-26.05999999999949,94.07999999999993,-72.14000000000033,6257.613333333334,6258.986666666667,6209.656666666667,6124.083333333333,6271.6,6297.66,6203.58,29.0,0.0,0.4383424539586933,5.039999999999964
11/02/2000,6263.44,6324.06,6148.47,6287.01,-64.07999999999993,-26.05999999999949,94.07999999999993,6258.926666666666,6257.613333333334,6258.986666666667,6209.656666666667,6207.52,6271.6,6297.66,30.0,1.0,0.4387025000658751,-23.57000000000062
14/02/2000,6241.91,6270.6,6191.76,6268.32,79.48999999999978,-64.07999999999993,-26.05999999999949,6255.376666666667,6258.926666666666,6257.613333333334,6258.986666666667,6287.01,6207.52,6271.6,31.0,1.0,0.4971259327489319,-26.409999999999854
15/02/2000,6286.01,6330.01,6076.86,6092.63,-18.69000000000051,79.48999999999978,-64.07999999999993,6254.283333333333,6255.376666666667,6258.926666666666,6257.613333333334,6268.32,6287.01,6207.52,32.0,0.0,0.4654713351975639,193.3800000000001
16/02/2000,6160.42,6178.07,5997.77,6046.27,-175.6899999999996,-18.69000000000051,79.48999999999978,6215.986666666667,6254.283333333333,6255.376666666667,6258.926666666666,6092.63,6268.32,6287.01,33.0,0.0,0.5192770745301027,-114.14999999999964
17/02/2000,6040.0,6222.87,6027.22,6154.96,-46.35999999999967,-175.6899999999996,-18.69000000000051,6135.740000000001,6215.986666666667,6254.283333333333,6255.376666666667,6046.27,6092.63,6268.32,34.0,1.0,0.5364575902929412,114.96000000000004
18/02/2000,6166.12,6184.0,6044.22,6062.72,108.6899999999996,-46.35999999999967,-175.6899999999996,6097.953333333334,6135.740000000001,6215.986666666667,6254.283333333333,6154.96,6046.27,6092.63,35.0,0.0,0.4733573846369694,103.39999999999964
21/02/2000,5979.13,5994.04,5928.04,5967.28,-92.23999999999978,108.6899999999996,-46.35999999999967,6087.983333333334,6097.953333333334,6135.740000000001,6215.986666666667,6062.72,6154.96,6046.27,36.0,0.0,0.5110943956511553,-11.850000000000364
22/02/2000,5986.85,6066.11,5920.61,5963.31,-95.44000000000051,-92.23999999999978,108.6899999999996,6061.653333333333,6087.983333333334,6097.953333333334,6135.740000000001,5967.28,6062.72,6154.96,37.0,0.0,0.5453215255499755,-23.539999999999964
23/02/2000,6038.86,6064.21,5992.02,6031.25,-3.969999999999345,-95.44000000000051,-92.23999999999978,5997.77,6061.653333333333,6087.983333333334,6097.953333333334,5963.31,5967.28,6062.72,38.0,0.0,0.5317741295877303,-7.609999999999673
24/02/2000,6106.32,6177.59,6069.51,6078.78,67.9399999999996,-3.969999999999345,-95.44000000000051,5987.28,5997.77,6061.653333333333,6087.983333333334,6031.25,5963.31,5967.28,39.0,0.0,0.4521282047703403,27.539999999999964
25/02/2000,6171.57,6202.53,6122.71,6188.64,47.529999999999745,67.9399999999996,-3.969999999999345,6024.446666666667,5987.28,5997.77,6061.653333333333,6078.78,6031.25,5963.31,40.0,1.0,0.4927171065980085,-17.07000000000062
28/02/2000,6181.05,6229.6,6031.69,6102.73,109.86000000000058,47.529999999999745,67.9399999999996,6099.556666666666,6024.446666666667,5987.28,5997.77,6188.64,6078.78,6031.25,41.0,0.0,0.46396306520073693,78.32000000000062
29/02/2000,6167.04,6264.25,6146.85,6190.96,-85.91000000000076,109.86000000000058,47.529999999999745,6123.383333333334,6099.556666666666,6024.446666666667,5987.28,6102.73,6188.64,6078.78,42.0,1.0,0.4893528182282676,-23.920000000000073
01/03/2000,6272.13,6283.6,6184.51,6256.32,88.23000000000047,-85.91000000000076,109.86000000000058,6160.776666666666,6123.383333333334,6099.556666666666,6024.446666666667,6190.96,6102.73,6188.64,43.0,0.0,0.42119685085434,15.8100000000004
02/03/2000,6319.23,6479.43,6276.34,6477.55,65.35999999999967,88.23000000000047,-85.91000000000076,6183.336666666666,6160.776666666666,6123.383333333334,6099.556666666666,6256.32,6190.96,6102.73,44.0,1.0,0.4659162600657867,-158.32000000000062
03/03/2000,6448.34,6555.87,6432.74,6514.11,221.23000000000047,65.35999999999967,88.23000000000047,6308.276666666666,6183.336666666666,6160.776666666666,6123.383333333334,6477.55,6256.32,6190.96,45.0,1.0,0.36021756502588875,-65.76999999999953
06/03/2000,6554.95,6590.35,6529.37,6545.98,36.55999999999949,221.23000000000047,65.35999999999967,6415.993333333333,6308.276666666666,6183.336666666666,6160.776666666666,6514.11,6477.55,6256.32,46.0,0.0,0.4669030216282799,8.970000000000255
