Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,UD,pred,pl
13/01/2000,18667.18,18845.03,18667.18,18833.29,-173.5,657.5099999999984,25.139999999999418,18573.916666666668,18404.2,18301.41,18571.22666666667,18677.42,18850.92,18193.41,7.0,1.0,0.3738903230350067,-166.11000000000058
14/01/2000,18882.99,19058.02,18733.83,18956.55,155.87000000000262,-173.5,657.5099999999984,18787.21,18573.916666666668,18404.2,18301.41,18833.29,18677.42,18850.92,8.0,1.0,0.31608893984985487,-73.55999999999767
17/01/2000,19025.62,19442.58,19025.62,19437.23,123.2599999999984,155.87000000000262,-173.5,18822.42,18787.21,18573.916666666668,18404.2,18956.55,18833.29,18677.42,9.0,1.0,0.328000276918013,-411.6100000000006
18/01/2000,19412.47,19412.47,19145.17,19196.57,480.6800000000003,123.2599999999984,155.87000000000262,19075.69,18822.42,18787.21,18573.916666666668,19437.23,18956.55,18833.29,10.0,0.0,-0.5953197703384392,215.90000000000146
19/01/2000,19181.87,19181.87,18897.75,18897.75,-240.65999999999985,480.6800000000003,123.2599999999984,19196.783333333333,19075.69,18822.42,18787.21,19196.57,19437.23,18956.55,11.0,0.0,0.37216484956696416,284.119999999999
20/01/2000,18930.26,19167.03,18921.11,19008.01,-298.8199999999997,-240.65999999999985,480.6800000000003,19177.183333333334,19196.783333333333,19075.69,18822.42,18897.75,19196.57,19437.23,12.0,1.0,0.3644004006397107,-77.75
21/01/2000,18994.89,18994.89,18713.17,18878.09,110.2599999999984,-298.8199999999997,-240.65999999999985,19034.11,19177.183333333334,19196.783333333333,19075.69,19008.01,18897.75,19196.57,13.0,0.0,0.33002188324417386,116.79999999999927
24/01/2000,18878.46,19124.57,18877.13,19056.71,-129.91999999999825,110.2599999999984,-298.8199999999997,18927.949999999997,19034.11,19177.183333333334,19196.783333333333,18878.09,19008.01,18897.75,14.0,1.0,0.36462172748226374,-178.25
25/01/2000,19004.39,19131.19,18815.37,18895.53,178.61999999999898,-129.91999999999825,110.2599999999984,18980.936666666665,18927.949999999997,19034.11,19177.183333333334,19056.71,18878.09,19008.01,15.0,0.0,0.3335932435682683,108.86000000000058
26/01/2000,18982.84,19145.9,18982.84,19111.19,-161.1800000000003,178.61999999999898,-129.91999999999825,18943.443333333333,18980.936666666665,18927.949999999997,19034.11,18895.53,19056.71,18878.09,16.0,1.0,0.3673293726469521,-128.34999999999854
