Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,UD,pred,pl
12/01/2000,6518.9,6532.8,6470.3,6532.8,-88.80000000000018,102.89999999999964,57.600000000000364,6543.8,6519.900000000001,6495.966666666666,6548.666666666667,6518.9,6607.7,6504.8,7.0,1.0,0.4838932937980265,-13.900000000000546
13/01/2000,6532.8,6596.5,6509.4,6531.5,13.900000000000546,-88.80000000000018,102.89999999999964,6553.133333333332,6543.8,6519.900000000001,6495.966666666666,6532.8,6518.9,6607.7,8.0,0.0,0.49661668402684067,1.300000000000182
14/01/2000,6531.5,6666.8,6531.5,6658.2,-1.300000000000182,13.900000000000546,-88.80000000000018,6527.733333333334,6553.133333333332,6543.8,6519.900000000001,6531.5,6532.8,6518.9,9.0,1.0,0.5241887858453067,126.69999999999982
17/01/2000,6658.2,6694.3,6638.3,6669.5,126.69999999999982,-1.300000000000182,13.900000000000546,6574.166666666667,6527.733333333334,6553.133333333332,6543.8,6658.2,6531.5,6532.8,10.0,1.0,0.4520002237923457,-11.300000000000182
18/01/2000,6669.5,6695.9,6491.5,6504.6,11.300000000000182,126.69999999999982,-1.300000000000182,6619.733333333334,6574.166666666667,6527.733333333334,6553.133333333332,6669.5,6658.2,6531.5,11.0,0.0,0.46904049751447063,164.89999999999964
19/01/2000,6504.6,6505.9,6434.4,6445.4,-164.89999999999964,11.300000000000182,126.69999999999982,6610.766666666667,6619.733333333334,6574.166666666667,6527.733333333334,6504.6,6669.5,6658.2,12.0,0.0,0.5170881277979527,-59.20000000000073
20/01/2000,6445.4,6492.7,6328.3,6348.7,-59.20000000000073,-164.89999999999964,11.300000000000182,6539.833333333333,6610.766666666667,6619.733333333334,6574.166666666667,6445.4,6504.6,6669.5,13.0,0.0,0.5599119181461722,-96.69999999999982
21/01/2000,6348.7,6374.7,6287.1,6346.3,-96.69999999999982,-59.20000000000073,-164.89999999999964,6432.900000000001,6539.833333333333,6610.766666666667,6619.733333333334,6348.7,6445.4,6504.6,14.0,0.0,0.5785533470286772,-2.399999999999636
24/01/2000,6346.3,6480.4,6346.3,6379.8,-2.399999999999636,-96.69999999999982,-59.20000000000073,6380.133333333332,6432.900000000001,6539.833333333333,6610.766666666667,6346.3,6348.7,6445.4,15.0,1.0,0.5229911635975157,33.5
25/01/2000,6379.8,6379.8,6262.9,6274.1,33.5,-2.399999999999636,-96.69999999999982,6358.266666666666,6380.133333333332,6432.900000000001,6539.833333333333,6379.8,6346.3,6348.7,16.0,0.0,0.5087462330281887,-105.69999999999982
26/01/2000,6274.1,6380.0,6270.4,6375.6,-105.69999999999982,33.5,-2.399999999999636,6333.400000000001,6358.266666666666,6380.133333333332,6432.900000000001,6274.1,6379.8,6346.3,17.0,1.0,0.5189919762742055,101.5
27/01/2000,6375.6,6451.6,6375.6,6441.0,101.5,-105.69999999999982,33.5,6343.166666666667,6333.400000000001,6358.266666666666,6380.133333333332,6375.6,6274.1,6379.8,18.0,1.0,0.48758830783503737,-65.39999999999964
28/01/2000,6441.0,6475.1,6354.8,6375.6,65.39999999999964,101.5,-105.69999999999982,6363.566666666667,6343.166666666667,6333.400000000001,6358.266666666666,6441.0,6375.6,6274.1,19.0,0.0,0.48607132564075917,65.39999999999964
31/01/2000,6375.6,6375.6,6246.8,6268.5,-65.39999999999964,65.39999999999964,101.5,6397.400000000001,6363.566666666667,6343.166666666667,6333.400000000001,6375.6,6441.0,6375.6,20.0,0.0,0.4762606860035834,107.10000000000036
01/02/2000,6268.5,6367.1,6231.9,6290.9,-107.10000000000036,-65.39999999999964,65.39999999999964,6361.7,6397.400000000001,6363.566666666667,6343.166666666667,6268.5,6375.6,6441.0,21.0,1.0,0.541267864632778,22.399999999999636
02/02/2000,6290.9,6345.2,6241.6,6302.8,22.399999999999636,-107.10000000000036,-65.39999999999964,6311.666666666667,6361.7,6397.400000000001,6363.566666666667,6290.9,6268.5,6375.6,22.0,1.0,0.5382437351774991,11.900000000000546
03/02/2000,6302.8,6393.5,6251.6,6324.3,11.900000000000546,22.399999999999636,-107.10000000000036,6287.400000000001,6311.666666666667,6361.7,6397.400000000001,6302.8,6290.9,6268.5,23.0,1.0,0.5124583001108709,21.5
04/02/2000,6324.3,6364.9,6171.2,6185.0,21.5,11.900000000000546,22.399999999999636,6306.0,6287.400000000001,6311.666666666667,6361.7,6324.3,6302.8,6290.9,24.0,0.0,0.48043197617979216,139.30000000000018
07/02/2000,6185.0,6232.1,6100.7,6118.6,-139.30000000000018,21.5,11.900000000000546,6270.7,6306.0,6287.400000000001,6311.666666666667,6185.0,6324.3,6302.8,25.0,0.0,0.5385552013767494,-66.39999999999964
08/02/2000,6118.6,6295.7,6117.3,6285.8,-66.39999999999964,-139.30000000000018,21.5,6209.3,6270.7,6306.0,6287.400000000001,6118.6,6185.0,6324.3,26.0,1.0,0.5497440636342266,167.19999999999982
