Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,id,att1,prediction(att1)
12/01/2000,3164.6,3164.6,3095.5,3104.6,61.5,58.59999999999991,14.400000000000091,3104.066666666667,3059.2333333333336,3041.8333333333335,3068.366666666667,3164.6,3103.1,3044.5,7.0,3104.6,3108.266666666667
13/01/2000,3104.6,3105.9,3089.0,3095.8,-60.0,61.5,58.59999999999991,3124.1,3104.066666666667,3059.2333333333336,3041.8333333333335,3104.6,3164.6,3103.1,8.0,3095.8,3101.4666666666667
14/01/2000,3095.8,3131.6,3095.8,3131.6,-8.799999999999727,-60.0,61.5,3121.6666666666665,3124.1,3104.066666666667,3059.2333333333336,3095.8,3104.6,3164.6,9.0,3131.6,3123.5333333333333
17/01/2000,3131.6,3147.5,3131.0,3139.9,35.79999999999973,-8.799999999999727,-60.0,3110.6666666666665,3121.6666666666665,3124.1,3104.066666666667,3131.6,3095.8,3104.6,10.0,3139.9,3128.626666666666
18/01/2000,3139.9,3157.1,3127.2,3151.2,8.300000000000182,35.79999999999973,-8.799999999999727,3122.433333333333,3110.6666666666665,3121.6666666666665,3124.1,3139.9,3131.6,3095.8,11.0,3151.2,3131.88
19/01/2000,3151.2,3151.2,3104.1,3105.4,11.299999999999727,8.300000000000182,35.79999999999973,3140.9,3122.433333333333,3110.6666666666665,3121.6666666666665,3151.2,3139.9,3131.6,12.0,3105.4,3147.2066666666665
20/01/2000,3105.4,3139.5,3079.5,3137.1,-45.79999999999973,11.299999999999727,8.300000000000182,3132.1666666666665,3140.9,3122.433333333333,3110.6666666666665,3105.4,3151.2,3139.9,13.0,3137.1,3126.0333333333333
21/01/2000,3137.1,3137.1,3097.6,3103.4,31.699999999999818,-45.79999999999973,11.299999999999727,3131.2333333333336,3132.1666666666665,3140.9,3122.433333333333,3137.1,3105.4,3151.2,14.0,3103.4,3145.993333333333
24/01/2000,3103.4,3115.4,3096.4,3096.6,-33.69999999999982,31.699999999999818,-45.79999999999973,3115.2999999999997,3131.2333333333336,3132.1666666666665,3140.9,3103.4,3137.1,3105.4,15.0,3096.6,3122.5466666666666
25/01/2000,3096.6,3096.6,3048.1,3078.6,-6.800000000000182,-33.69999999999982,31.699999999999818,3112.366666666667,3115.2999999999997,3131.2333333333336,3132.1666666666665,3096.6,3103.4,3137.1,16.0,3078.6,3113.5866666666657
26/01/2000,3096.6,3096.6,3048.1,3078.6,-18.0,-6.800000000000182,-33.69999999999982,3092.866666666667,3112.366666666667,3115.2999999999997,3131.2333333333336,3078.6,3096.6,3103.4,17.0,3078.6,3092.5333333333338
27/01/2000,3078.6,3089.4,3072.0,3083.4,0.0,-18.0,-6.800000000000182,3084.6,3092.866666666667,3112.366666666667,3115.2999999999997,3078.6,3078.6,3096.6,18.0,3083.4,3088.8
28/01/2000,3083.4,3107.1,3082.0,3092.1,4.800000000000182,0.0,-18.0,3080.2000000000003,3084.6,3092.866666666667,3112.366666666667,3083.4,3078.6,3078.6,19.0,3092.1,3093.766666666667
31/01/2000,3092.1,3096.0,3069.4,3096.0,8.699999999999818,4.800000000000182,0.0,3084.7000000000003,3080.2000000000003,3084.6,3092.866666666667,3092.1,3083.4,3078.6,20.0,3096.0,3092.153333333333
01/02/2000,3096.0,3108.7,3077.8,3084.5,3.900000000000091,8.699999999999818,4.800000000000182,3090.5,3084.7000000000003,3080.2000000000003,3084.6,3096.0,3092.1,3083.4,21.0,3084.5,3093.473333333334
02/02/2000,3084.5,3124.2,3084.5,3116.3,-11.5,3.900000000000091,8.699999999999818,3090.866666666667,3090.5,3084.7000000000003,3080.2000000000003,3084.5,3096.0,3092.1,22.0,3116.3,3084.9533333333334
03/02/2000,3116.3,3135.5,3103.0,3135.1,31.800000000000182,-11.5,3.900000000000091,3098.933333333333,3090.866666666667,3090.5,3084.7000000000003,3116.3,3084.5,3096.0,23.0,3135.1,3105.9466666666663
04/02/2000,3135.1,3141.7,3115.1,3115.1,18.799999999999727,31.800000000000182,-11.5,3111.9666666666667,3098.933333333333,3090.866666666667,3090.5,3135.1,3116.3,3084.5,24.0,3115.1,3122.78
07/02/2000,3115.1,3138.3,3113.4,3130.4,-20.0,18.799999999999727,31.800000000000182,3122.1666666666665,3111.9666666666667,3098.933333333333,3090.866666666667,3115.1,3135.1,3116.3,25.0,3130.4,3130.3266666666673
08/02/2000,3130.4,3141.5,3120.5,3124.0,15.300000000000182,-20.0,18.799999999999727,3126.866666666667,3122.1666666666665,3111.9666666666667,3098.933333333333,3130.4,3115.1,3135.1,26.0,3124.0,3139.813333333333
09/02/2000,3124.0,3159.6,3124.0,3134.0,-6.400000000000091,15.300000000000182,-20.0,3123.1666666666665,3126.866666666667,3122.1666666666665,3111.9666666666667,3124.0,3130.4,3115.1,27.0,3134.0,3130.926666666666
10/02/2000,3134.0,3175.3,3120.5,3172.5,10.0,-6.400000000000091,15.300000000000182,3129.4666666666667,3123.1666666666665,3126.866666666667,3122.1666666666665,3134.0,3124.0,3130.4,28.0,3172.5,3141.633333333333
11/02/2000,3172.5,3174.7,3145.3,3167.1,38.5,10.0,-6.400000000000091,3143.5,3129.4666666666667,3123.1666666666665,3126.866666666667,3172.5,3134.0,3124.0,29.0,3167.1,3165.98
14/02/2000,3167.1,3167.1,3128.6,3135.3,-5.400000000000091,38.5,10.0,3157.866666666667,3143.5,3129.4666666666667,3123.1666666666665,3167.1,3172.5,3134.0,30.0,3135.3,3168.54
15/02/2000,3135.3,3168.5,3135.3,3158.1,-31.799999999999727,-5.400000000000091,38.5,3158.3000000000006,3157.866666666667,3143.5,3129.4666666666667,3135.3,3167.1,3172.5,31.0,3158.1,3145.5599999999995
16/02/2000,3158.1,3194.2,3145.9,3148.3,22.799999999999727,-31.799999999999727,-5.400000000000091,3153.5,3158.3000000000006,3157.866666666667,3143.5,3158.1,3135.3,3167.1,32.0,3148.3,3166.92
