Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),UD,id,pred,confidence(U)
11/01/2000,5726.51,5726.51,5571.99,5613.9,106.51000000000022,89.5,-29.590000000000146,5545.28,5489.806666666666,5533.943333333334,5689.696666666667,5646.12,5539.61,5450.11,0.6963145426361543,D,7.0,D,0.3036854573638457
12/01/2000,5541.23,5628.73,5536.5,5582.5,-32.220000000000255,106.51000000000022,89.5,5599.876666666666,5545.28,5489.806666666666,5533.943333333334,5613.9,5646.12,5539.61,0.6423921564821197,U,8.0,D,0.3576078435178803
13/01/2000,5586.25,5682.27,5579.49,5633.24,-31.399999999999636,-32.220000000000255,106.51000000000022,5614.173333333333,5599.876666666666,5545.28,5489.806666666666,5582.5,5613.9,5646.12,0.6167631253484862,U,9.0,D,0.3832368746515138
14/01/2000,5669.14,5804.16,5664.71,5787.44,50.73999999999978,-31.399999999999636,-32.220000000000255,5609.88,5614.173333333333,5599.876666666666,5545.28,5633.24,5582.5,5613.9,0.6057202600771147,U,10.0,D,0.39427973992288534
17/01/2000,5834.75,5857.36,5740.19,5842.78,154.19999999999982,50.73999999999978,-31.399999999999636,5667.7266666666665,5609.88,5614.173333333333,5599.876666666666,5787.44,5633.24,5582.5,0.7433226938917602,U,11.0,D,0.2566773061082397
18/01/2000,5859.44,5859.44,5670.27,5672.95,55.340000000000146,154.19999999999982,50.73999999999978,5754.486666666667,5667.7266666666665,5609.88,5614.173333333333,5842.78,5787.44,5633.24,0.7308707060951909,D,12.0,D,0.2691292939048091
19/01/2000,5664.92,5668.06,5590.19,5649.46,-169.82999999999993,55.340000000000146,154.19999999999982,5767.723333333332,5754.486666666667,5667.7266666666665,5609.88,5672.95,5842.78,5787.44,0.5239696111672023,D,13.0,D,0.4760303888327977
20/01/2000,5713.04,5727.82,5660.25,5709.74,-23.48999999999978,-169.82999999999993,55.340000000000146,5721.73,5767.723333333332,5754.486666666667,5667.7266666666665,5649.46,5672.95,5842.78,0.5467295405986979,D,14.0,D,0.4532704594013021
21/01/2000,5656.1,5738.16,5630.63,5681.32,60.279999999999745,-23.48999999999978,-169.82999999999993,5677.383333333334,5721.73,5767.723333333332,5754.486666666667,5709.74,5649.46,5672.95,0.5106662230094814,U,15.0,D,0.4893337769905186
24/01/2000,5687.36,5777.68,5680.6,5690.86,-28.420000000000073,60.279999999999745,-23.48999999999978,5680.173333333333,5677.383333333334,5721.73,5767.723333333332,5681.32,5709.74,5649.46,0.5457395738199802,U,16.0,D,0.45426042618001994
25/01/2000,5601.18,5654.52,5590.17,5597.5,9.539999999999964,-28.420000000000073,60.279999999999745,5693.973333333332,5680.173333333333,5677.383333333334,5721.73,5690.86,5681.32,5709.74,0.6301549537377843,D,17.0,D,0.3698450462622157
26/01/2000,5636.61,5687.43,5618.96,5646.32,-93.35999999999967,9.539999999999964,-28.420000000000073,5656.56,5693.973333333332,5680.173333333333,5677.383333333334,5597.5,5690.86,5681.32,0.44566425150797045,U,18.0,U,0.5543357484920295
27/01/2000,5671.64,5727.53,5625.23,5688.35,48.81999999999971,-93.35999999999967,9.539999999999964,5644.893333333333,5656.56,5693.973333333332,5680.173333333333,5646.32,5597.5,5690.86,0.6154642460755774,U,19.0,D,0.38453575392442263
28/01/2000,5743.2,5813.28,5696.09,5731.05,42.030000000000655,48.81999999999971,-93.35999999999967,5644.056666666666,5644.893333333333,5656.56,5693.973333333332,5688.35,5646.32,5597.5,0.5711925366347698,D,20.0,D,0.42880746336523023
31/01/2000,5677.79,5707.88,5625.72,5659.81,42.69999999999982,42.030000000000655,48.81999999999971,5688.573333333334,5644.056666666666,5644.893333333333,5656.56,5731.05,5688.35,5646.32,0.6811334530436352,D,21.0,D,0.3188665469563648
01/02/2000,5700.87,5798.47,5700.87,5773.42,-71.23999999999978,42.69999999999982,42.030000000000655,5693.070000000001,5688.573333333334,5644.056666666666,5644.893333333333,5659.81,5731.05,5688.35,0.5439208414425202,U,22.0,D,0.4560791585574799
02/02/2000,5814.26,5956.14,5811.36,5946.86,113.60999999999967,-71.23999999999978,42.69999999999982,5721.426666666666,5693.070000000001,5688.573333333334,5644.056666666666,5773.42,5659.81,5731.05,0.7221385386245424,U,23.0,D,0.2778614613754576
03/02/2000,6025.84,6149.67,5979.06,6149.67,173.4399999999996,113.60999999999967,-71.23999999999978,5793.363333333334,5721.426666666666,5693.070000000001,5688.573333333334,5946.86,5773.42,5659.81,0.7580440072390976,U,24.0,D,0.24195599276090238
04/02/2000,6197.4,6312.42,6192.86,6275.72,202.8100000000004,173.4399999999996,113.60999999999967,5956.649999999999,5793.363333333334,5721.426666666666,5693.070000000001,6149.67,5946.86,5773.42,0.882259766623671,U,25.0,D,0.11774023337632905
07/02/2000,6276.47,6336.68,6203.58,6203.58,126.05000000000018,202.8100000000004,173.4399999999996,6124.083333333333,5956.649999999999,5793.363333333334,5721.426666666666,6275.72,6149.67,5946.86,0.8716592263100038,D,26.0,D,0.1283407736899961
08/02/2000,6252.31,6396.39,6232.95,6297.66,-72.14000000000033,126.05000000000018,202.8100000000004,6209.656666666667,6124.083333333333,5956.649999999999,5793.363333333334,6203.58,6275.72,6149.67,0.7217420819493658,U,27.0,D,0.2782579180506342
09/02/2000,6390.79,6396.97,6240.07,6271.6,94.07999999999993,-72.14000000000033,126.05000000000018,6258.986666666667,6209.656666666667,6124.083333333333,5956.649999999999,6297.66,6203.58,6275.72,0.7804845948259413,D,28.0,D,0.2195154051740587
10/02/2000,6212.56,6250.72,6168.66,6207.52,-26.05999999999949,94.07999999999993,-72.14000000000033,6257.613333333334,6258.986666666667,6209.656666666667,6124.083333333333,6271.6,6297.66,6203.58,0.5579288772330759,D,29.0,D,0.442071122766924
11/02/2000,6263.44,6324.06,6148.47,6287.01,-64.07999999999993,-26.05999999999949,94.07999999999993,6258.926666666666,6257.613333333334,6258.986666666667,6209.656666666667,6207.52,6271.6,6297.66,0.6023022208468289,U,30.0,D,0.39769777915317106
14/02/2000,6241.91,6270.6,6191.76,6268.32,79.48999999999978,-64.07999999999993,-26.05999999999949,6255.376666666667,6258.926666666666,6257.613333333334,6258.986666666667,6287.01,6207.52,6271.6,0.663473018958549,U,31.0,D,0.3365269810414509
15/02/2000,6286.01,6330.01,6076.86,6092.63,-18.69000000000051,79.48999999999978,-64.07999999999993,6254.283333333333,6255.376666666667,6258.926666666666,6257.613333333334,6268.32,6287.01,6207.52,0.5644440202046106,D,32.0,D,0.4355559797953894
16/02/2000,6160.42,6178.07,5997.77,6046.27,-175.6899999999996,-18.69000000000051,79.48999999999978,6215.986666666667,6254.283333333333,6255.376666666667,6258.926666666666,6092.63,6268.32,6287.01,0.4513007405818237,D,33.0,U,0.5486992594181763
17/02/2000,6040.0,6222.87,6027.22,6154.96,-46.35999999999967,-175.6899999999996,-18.69000000000051,6135.740000000001,6215.986666666667,6254.283333333333,6255.376666666667,6046.27,6092.63,6268.32,0.47425154901384725,U,34.0,U,0.5257484509861526
18/02/2000,6166.12,6184.0,6044.22,6062.72,108.6899999999996,-46.35999999999967,-175.6899999999996,6097.953333333334,6135.740000000001,6215.986666666667,6254.283333333333,6154.96,6046.27,6092.63,0.5780038083465034,D,35.0,D,0.4219961916534966
21/02/2000,5979.13,5994.04,5928.04,5967.28,-92.23999999999978,108.6899999999996,-46.35999999999967,6087.983333333334,6097.953333333334,6135.740000000001,6215.986666666667,6062.72,6154.96,6046.27,0.484958559158908,D,36.0,U,0.515041440841092
22/02/2000,5986.85,6066.11,5920.61,5963.31,-95.44000000000051,-92.23999999999978,108.6899999999996,6061.653333333333,6087.983333333334,6097.953333333334,6135.740000000001,5967.28,6062.72,6154.96,0.5402542135235457,D,37.0,D,0.4597457864764542
23/02/2000,6038.86,6064.21,5992.02,6031.25,-3.969999999999345,-95.44000000000051,-92.23999999999978,5997.77,6061.653333333333,6087.983333333334,6097.953333333334,5963.31,5967.28,6062.72,0.48651451974966625,D,38.0,U,0.5134854802503337
