Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),UD,id,pred,confidence(U)
11/01/2000,11568.47,11748.11,11398.3,11511.08,49.64000000000124,269.2999999999993,130.61000000000058,11449.340000000002,11299.49,11124.613333333335,11159.363333333335,11572.2,11522.56,11253.26,0.2689596102062011,D,7.0,U,0.7310403897937988
12/01/2000,11506.73,11751.83,11385.74,11551.1,-61.1200000000008,49.64000000000124,269.2999999999993,11535.28,11449.340000000002,11299.49,11124.613333333335,11511.08,11572.2,11522.56,0.2689076556208553,U,8.0,U,0.7310923443791447
13/01/2000,11558.24,11761.14,11421.42,11582.43,40.02000000000044,-61.1200000000008,49.64000000000124,11544.793333333333,11535.28,11449.340000000002,11299.49,11551.1,11511.08,11572.2,0.2688802021871798,U,9.0,U,0.7311197978128202
14/01/2000,11619.35,11908.5,11506.42,11722.98,31.329999999999927,40.02000000000044,-61.1200000000008,11548.203333333333,11544.793333333333,11535.28,11449.340000000002,11582.43,11551.1,11511.08,0.2689159084642792,U,10.0,U,0.7310840915357207
18/01/2000,11719.19,11834.67,11397.22,11560.72,140.54999999999927,31.329999999999927,40.02000000000044,11618.836666666664,11548.203333333333,11544.793333333333,11535.28,11722.98,11582.43,11551.1,0.2689401665834152,D,11.0,U,0.7310598334165849
19/01/2000,11535.24,11710.57,11320.28,11489.36,-162.26000000000022,140.54999999999927,31.329999999999927,11622.043333333333,11618.836666666664,11548.203333333333,11544.793333333333,11560.72,11722.98,11582.43,0.2689442832247537,D,12.0,U,0.7310557167752463
20/01/2000,11490.29,11654.72,11194.32,11351.3,-71.35999999999876,-162.26000000000022,140.54999999999927,11591.019999999999,11622.043333333333,11618.836666666664,11548.203333333333,11489.36,11560.72,11722.98,0.26891152188196393,D,13.0,U,0.7310884781180361
21/01/2000,11356.26,11513.87,11113.65,11251.71,-138.0600000000013,-71.35999999999876,-162.26000000000022,11467.126666666669,11591.019999999999,11622.043333333333,11618.836666666664,11351.3,11489.36,11560.72,0.26891301186818334,D,14.0,U,0.7310869881318167
24/01/2000,11251.94,11501.15,10849.01,11008.17,-99.59000000000015,-138.0600000000013,-71.35999999999876,11364.123333333331,11467.126666666669,11591.019999999999,11622.043333333333,11251.71,11351.3,11489.36,0.2689466927151176,D,15.0,U,0.7310533072848824
25/01/2000,11010.96,11228.75,10779.83,11029.89,-243.53999999999905,-99.59000000000015,-138.0600000000013,11203.726666666667,11364.123333333331,11467.126666666669,11591.019999999999,11008.17,11251.71,11351.3,0.26896105358099814,U,16.0,U,0.7310389464190018
26/01/2000,11025.85,11280.87,10870.73,11032.99,21.719999999999345,-243.53999999999905,-99.59000000000015,11096.589999999998,11203.726666666667,11364.123333333331,11467.126666666669,11029.89,11008.17,11251.71,0.26895218747961774,U,17.0,U,0.7310478125203823
27/01/2000,11035.55,11274.36,10818.3,11028.02,3.100000000000364,21.719999999999345,-243.53999999999905,11023.683333333332,11096.589999999998,11203.726666666667,11364.123333333331,11032.99,11029.89,11008.17,0.26897747689974627,D,18.0,U,0.7310225231002537
28/01/2000,11024.92,11115.2,10649.21,10738.87,-4.969999999999345,3.100000000000364,21.719999999999345,11030.299999999997,11023.683333333332,11096.589999999998,11203.726666666667,11028.02,11032.99,11029.89,0.2689898277646699,D,19.0,U,0.7310101722353302
31/01/2000,10735.77,11059.67,10610.43,10940.53,-289.14999999999964,-4.969999999999345,3.100000000000364,10933.293333333335,11030.299999999997,11023.683333333332,11096.589999999998,10738.87,11028.02,11032.99,0.2689635371077292,U,20.0,U,0.7310364628922709
01/02/2000,10937.74,11187.18,10798.44,11041.05,201.65999999999985,-289.14999999999964,-4.969999999999345,10902.473333333333,10933.293333333335,11030.299999999997,11023.683333333332,10940.53,10738.87,11028.02,0.268921783017282,U,21.0,U,0.7310782169827181
