Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),id,UD,pred,confidence(U)
13/01/2000,18667.18,18845.03,18667.18,18833.29,-173.5,657.5099999999984,25.139999999999418,18573.916666666668,18404.2,18301.41,18571.22666666667,18677.42,18850.92,18193.41,0.27632935099909184,7.0,U,U,0.723670649000908
14/01/2000,18882.99,19058.02,18733.83,18956.55,155.87000000000262,-173.5,657.5099999999984,18787.21,18573.916666666668,18404.2,18301.41,18833.29,18677.42,18850.92,0.5064743095761748,8.0,U,D,0.4935256904238252
17/01/2000,19025.62,19442.58,19025.62,19437.23,123.2599999999984,155.87000000000262,-173.5,18822.42,18787.21,18573.916666666668,18404.2,18956.55,18833.29,18677.42,0.5179335205587243,9.0,U,D,0.4820664794412757
18/01/2000,19412.47,19412.47,19145.17,19196.57,480.6800000000003,123.2599999999984,155.87000000000262,19075.69,18822.42,18787.21,18573.916666666668,19437.23,18956.55,18833.29,0.5782385928606302,10.0,D,D,0.4217614071393699
19/01/2000,19181.87,19181.87,18897.75,18897.75,-240.65999999999985,480.6800000000003,123.2599999999984,19196.783333333333,19075.69,18822.42,18787.21,19196.57,19437.23,18956.55,0.36640258632129635,11.0,D,U,0.6335974136787038
20/01/2000,18930.26,19167.03,18921.11,19008.01,-298.8199999999997,-240.65999999999985,480.6800000000003,19177.183333333334,19196.783333333333,19075.69,18822.42,18897.75,19196.57,19437.23,0.4849365261200526,12.0,U,U,0.5150634738799473
21/01/2000,18994.89,18994.89,18713.17,18878.09,110.2599999999984,-298.8199999999997,-240.65999999999985,19034.11,19177.183333333334,19196.783333333333,19075.69,19008.01,18897.75,19196.57,0.558639721630284,13.0,D,D,0.44136027836971614
24/01/2000,18878.46,19124.57,18877.13,19056.71,-129.91999999999825,110.2599999999984,-298.8199999999997,18927.949999999997,19034.11,19177.183333333334,19196.783333333333,18878.09,19008.01,18897.75,0.4909027331140522,14.0,U,U,0.5090972668859477
25/01/2000,19004.39,19131.19,18815.37,18895.53,178.61999999999898,-129.91999999999825,110.2599999999984,18980.936666666665,18927.949999999997,19034.11,19177.183333333334,19056.71,18878.09,19008.01,0.5407495784862921,15.0,D,D,0.45925042151370793
26/01/2000,18982.84,19145.9,18982.84,19111.19,-161.1800000000003,178.61999999999898,-129.91999999999825,18943.443333333333,18980.936666666665,18927.949999999997,19034.11,18895.53,19056.71,18878.09,0.4776346373137741,16.0,U,U,0.5223653626862259
