Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),id,UD,pred,confidence(U)
12/01/2010,5538.1,5549.6,5459.9,5498.7,3.9000000000005457,7.5,-3.300000000000182,5533.0,5530.3,5526.400000000001,5517.599999999999,5538.1,5534.2,5526.7,0.48599360267883784,7.0,D,U,0.5140063973211622
13/01/2010,5498.7,5509.7,5450.9,5473.5,-39.400000000000546,3.9000000000005457,7.5,5523.666666666667,5533.0,5530.3,5526.400000000001,5498.7,5538.1,5534.2,0.45542618702704746,8.0,D,U,0.5445738129729526
14/01/2010,5473.5,5521.9,5473.5,5498.2,-25.199999999999818,-39.400000000000546,3.9000000000005457,5503.433333333333,5523.666666666667,5533.0,5530.3,5473.5,5498.7,5538.1,0.42047970923937644,9.0,U,U,0.5795202907606236
15/01/2010,5498.2,5527.0,5450.4,5455.4,24.699999999999818,-25.199999999999818,-39.400000000000546,5490.133333333334,5503.433333333333,5523.666666666667,5533.0,5498.2,5473.5,5498.7,0.4524386386450844,10.0,D,U,0.5475613613549156
18/01/2010,5455.4,5504.0,5454.3,5494.4,-42.80000000000018,24.699999999999818,-25.199999999999818,5475.7,5490.133333333334,5503.433333333333,5523.666666666667,5455.4,5498.2,5473.5,0.4617282200635562,11.0,U,U,0.5382717799364438
19/01/2010,5494.4,5531.9,5431.3,5513.1,39.0,-42.80000000000018,24.699999999999818,5482.666666666667,5475.7,5490.133333333334,5503.433333333333,5494.4,5455.4,5498.2,0.48887953276060636,12.0,U,U,0.5111204672393936
20/01/2010,5513.1,5513.1,5404.0,5420.8,18.700000000000728,39.0,-42.80000000000018,5487.633333333334,5482.666666666667,5475.7,5490.133333333334,5513.1,5494.4,5455.4,0.505778773854353,13.0,D,D,0.494221226145647
21/01/2010,5420.8,5468.4,5331.6,5335.1,-92.30000000000018,18.700000000000728,39.0,5476.099999999999,5487.633333333334,5482.666666666667,5475.7,5420.8,5513.1,5494.4,0.44528626292745954,14.0,D,U,0.5547137370725405
22/01/2010,5335.1,5345.6,5253.0,5303.0,-85.69999999999982,-92.30000000000018,18.700000000000728,5423.000000000001,5476.099999999999,5487.633333333334,5482.666666666667,5335.1,5420.8,5513.1,0.3226948583094672,15.0,D,U,0.6773051416905328
25/01/2010,5303.0,5330.6,5252.9,5260.3,-32.100000000000364,-85.69999999999982,-92.30000000000018,5352.966666666667,5423.000000000001,5476.099999999999,5487.633333333334,5303.0,5335.1,5420.8,0.31192268846057425,16.0,D,U,0.6880773115394258
26/01/2010,5260.3,5276.9,5215.7,5276.9,-42.69999999999982,-32.100000000000364,-85.69999999999982,5299.466666666667,5352.966666666667,5423.000000000001,5476.099999999999,5260.3,5303.0,5335.1,0.37550422843740877,17.0,U,U,0.6244957715625913
27/01/2010,5276.9,5276.9,5192.6,5217.5,16.599999999999454,-42.69999999999982,-32.100000000000364,5280.066666666667,5299.466666666667,5352.966666666667,5423.000000000001,5276.9,5260.3,5303.0,0.4446508651181115,18.0,D,U,0.5553491348818885
28/01/2010,5217.5,5280.4,5145.7,5145.7,-59.399999999999636,16.599999999999454,-42.69999999999982,5251.566666666667,5280.066666666667,5299.466666666667,5352.966666666667,5217.5,5276.9,5260.3,0.4187192007069471,19.0,D,U,0.5812807992930529
29/01/2010,5145.7,5230.2,5145.7,5188.5,-71.80000000000018,-59.399999999999636,16.599999999999454,5213.366666666666,5251.566666666667,5280.066666666667,5299.466666666667,5145.7,5217.5,5276.9,0.36056421905625463,20.0,U,U,0.6394357809437453
01/02/2010,5188.5,5250.1,5163.6,5247.4,42.80000000000018,-71.80000000000018,-59.399999999999636,5183.900000000001,5213.366666666666,5251.566666666667,5280.066666666667,5188.5,5145.7,5217.5,0.38798850463399703,21.0,U,U,0.612011495366003
02/02/2010,5247.4,5289.0,5208.2,5283.3,58.899999999999636,42.80000000000018,-71.80000000000018,5193.866666666667,5183.900000000001,5213.366666666666,5251.566666666667,5247.4,5188.5,5145.7,0.5182391329414145,22.0,U,D,0.48176086705858545
03/02/2010,5283.3,5305.4,5237.7,5253.1,35.900000000000546,58.899999999999636,42.80000000000018,5239.733333333334,5193.866666666667,5183.900000000001,5213.366666666666,5283.3,5247.4,5188.5,0.5840173827322329,23.0,D,D,0.41598261726776703
04/02/2010,5253.1,5262.2,5123.9,5139.3,-30.199999999999818,35.900000000000546,58.899999999999636,5261.266666666667,5239.733333333334,5193.866666666667,5183.900000000001,5253.1,5283.3,5247.4,0.49111207665814566,24.0,D,U,0.5088879233418543
05/02/2010,5139.3,5139.3,5033.8,5060.9,-113.80000000000018,-30.199999999999818,35.900000000000546,5225.233333333334,5261.266666666667,5239.733333333334,5193.866666666667,5139.3,5253.1,5283.3,0.33538293616847964,25.0,D,U,0.6646170638315204
