Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,confidence(D),id,UD,pred,confidence(U)
12/01/2010,4044.19,4049.48,3980.2,4000.05,-2.049999999999727,20.33999999999969,7.130000000000109,4037.6766666666667,4029.2033333333334,4018.4600000000005,4014.85,4043.09,4045.14,4024.8,0.5112393648188381,7.0,D,D,0.4887606351811619
13/01/2010,3979.94,4007.86,3979.15,4000.86,-43.039999999999964,-2.049999999999727,20.33999999999969,4029.4266666666663,4037.6766666666667,4029.2033333333334,4018.4600000000005,4000.05,4043.09,4045.14,0.6301111300813204,8.0,U,D,0.3698888699186797
14/01/2010,4029.2,4029.71,3993.5,4015.77,0.8099999999999454,-43.039999999999964,-2.049999999999727,4014.6666666666665,4029.4266666666663,4037.6766666666667,4029.2033333333334,4000.86,4000.05,4043.09,0.19321962782591395,9.0,D,U,0.8067803721740862
15/01/2010,4030.94,4044.08,3949.9,3954.38,14.909999999999854,0.8099999999999454,-43.039999999999964,4005.56,4014.6666666666665,4029.4266666666663,4037.6766666666667,4015.77,4000.86,4000.05,0.24866915300080855,10.0,D,U,0.7513308469991914
18/01/2010,3971.17,3982.79,3954.28,3977.46,-61.38999999999987,14.909999999999854,0.8099999999999454,3990.3366666666666,4005.56,4014.6666666666665,4029.4266666666663,3954.38,4015.77,4000.86,0.5733299774005628,11.0,U,D,0.4266700225994373
19/01/2010,3968.73,4019.88,3930.91,4009.67,23.079999999999927,-61.38999999999987,14.909999999999854,3982.536666666667,3990.3366666666666,4005.56,4014.6666666666665,3977.46,3954.38,4015.77,0.24292585862594196,12.0,U,U,0.7570741413740579
20/01/2010,3996.36,4013.48,3915.96,3928.95,32.210000000000036,23.079999999999927,-61.38999999999987,3980.5033333333336,3982.536666666667,3990.3366666666666,4005.56,4009.67,3977.46,3954.38,0.4566935565654006,13.0,D,U,0.5433064434345994
21/01/2010,3955.78,3966.2,3862.16,3862.16,-80.72000000000025,32.210000000000036,23.079999999999927,3972.0266666666666,3980.5033333333336,3982.536666666667,3990.3366666666666,3928.95,4009.67,3977.46,0.6481682324381456,14.0,D,D,0.35183176756185436
22/01/2010,3840.06,3859.65,3786.29,3820.78,-66.78999999999996,-80.72000000000025,32.210000000000036,3933.593333333333,3972.0266666666666,3980.5033333333336,3982.536666666667,3862.16,3928.95,4009.67,0.4900396335622403,15.0,D,U,0.5099603664377598
25/01/2010,3793.63,3833.44,3780.5,3781.85,-41.379999999999654,-66.78999999999996,-80.72000000000025,3870.6299999999997,3933.593333333333,3972.0266666666666,3980.5033333333336,3820.78,3862.16,3928.95,0.3977800143789835,16.0,D,U,0.6022199856210164
26/01/2010,3748.03,3807.48,3741.36,3807.04,-38.93000000000029,-41.379999999999654,-66.78999999999996,3821.596666666667,3870.6299999999997,3933.593333333333,3972.0266666666666,3781.85,3820.78,3862.16,0.33228844922144474,17.0,U,U,0.6677115507785552
27/01/2010,3769.66,3793.63,3737.29,3759.8,25.190000000000055,-38.93000000000029,-41.379999999999654,3803.2233333333334,3821.596666666667,3870.6299999999997,3933.593333333333,3807.04,3781.85,3820.78,0.2416535951060403,18.0,D,U,0.7583464048939597
28/01/2010,3812.19,3812.19,3688.79,3688.79,-47.23999999999978,25.190000000000055,-38.93000000000029,3782.896666666666,3803.2233333333334,3821.596666666667,3870.6299999999997,3759.8,3807.04,3781.85,0.45589722623372064,19.0,D,U,0.5441027737662792
29/01/2010,3712.02,3768.39,3696.0,3739.46,-71.01000000000022,-47.23999999999978,25.190000000000055,3751.876666666667,3782.896666666666,3803.2233333333334,3821.596666666667,3688.79,3759.8,3807.04,0.4930970208757446,20.0,U,U,0.5069029791242554
01/02/2010,3713.17,3774.36,3702.01,3762.01,50.67000000000007,-71.01000000000022,-47.23999999999978,3729.35,3751.876666666667,3782.896666666666,3803.2233333333334,3739.46,3688.79,3759.8,0.37606532180106206,21.0,U,U,0.623934678198938
02/02/2010,3766.83,3819.07,3737.72,3812.13,22.550000000000182,50.67000000000007,-71.01000000000022,3730.0866666666666,3729.35,3751.876666666667,3782.896666666666,3762.01,3739.46,3688.79,0.6112217955323288,22.0,U,D,0.38877820446767125
03/02/2010,3819.77,3831.38,3784.32,3793.47,50.11999999999989,22.550000000000182,50.67000000000007,3771.2000000000003,3730.0866666666666,3729.35,3751.876666666667,3812.13,3762.01,3739.46,0.6557881838451838,23.0,D,D,0.3442118161548163
04/02/2010,3792.42,3806.21,3685.57,3689.25,-18.66000000000031,50.11999999999989,22.550000000000182,3789.2033333333334,3771.2000000000003,3730.0866666666666,3729.35,3793.47,3812.13,3762.01,0.7194520443566228,24.0,D,D,0.28054795564337726
05/02/2010,3665.91,3673.71,3563.76,3563.76,-104.2199999999998,-18.66000000000031,50.11999999999989,3764.9500000000003,3789.2033333333334,3771.2000000000003,3730.0866666666666,3689.25,3793.47,3812.13,0.665227220919748,25.0,D,D,0.33477277908025205
08/02/2010,3595.38,3616.67,3545.91,3607.27,-125.48999999999978,-104.2199999999998,-18.66000000000031,3682.16,3764.9500000000003,3789.2033333333334,3771.2000000000003,3563.76,3689.25,3793.47,0.6805131820812259,26.0,U,D,0.31948681791877415
09/02/2010,3598.66,3633.59,3583.54,3612.76,43.50999999999976,-125.48999999999978,-104.2199999999998,3620.0933333333337,3682.16,3764.9500000000003,3789.2033333333334,3607.27,3563.76,3689.25,0.6103091481820011,27.0,U,D,0.3896908518179989
10/02/2010,3638.39,3673.63,3617.72,3635.61,5.4900000000002365,43.50999999999976,-125.48999999999978,3594.596666666667,3620.0933333333337,3682.16,3764.9500000000003,3612.76,3607.27,3563.76,0.4017776696753302,28.0,D,U,0.5982223303246698
11/02/2010,3659.95,3675.64,3581.86,3616.75,22.84999999999991,5.4900000000002365,43.50999999999976,3618.546666666667,3594.596666666667,3620.0933333333337,3682.16,3635.61,3612.76,3607.27,0.699973447243983,29.0,D,D,0.30002655275601703
12/02/2010,3647.27,3661.04,3579.4,3599.07,-18.860000000000127,22.84999999999991,5.4900000000002365,3621.706666666667,3618.546666666667,3594.596666666667,3620.0933333333337,3616.75,3635.61,3612.76,0.661777220439378,30.0,D,D,0.338222779560622
