Date,Open,High,Low,Close,change(att1)-1,change(att1)-2,change(att1)-3,moving_average(att1)-1,moving_average(att1)-2,moving_average(att1)-3,moving_average(att1)-4,att1-1,att1-2,att1-3,pred,confidence(U),id,UD,confidence(D)
12/01/2010,4044.19,4049.48,3980.2,4000.05,-0.045057728281102064,0.4072654422590089,0.13956292945117538,1.0698369636339342,1.047307061003554,1.0183665942541242,1.0096239568673298,1.079129358361332,1.0861205787376298,1.030313984116955,U,0.5333333333333333,7.0,D,0.4666666666666666
13/01/2010,3979.94,4007.86,3979.15,4000.86,-0.8750325775878431,-0.04617320400134181,0.4070873671901068,1.046465805332937,1.0713307580373168,1.0488525326468017,1.0198766744989216,0.9578204150409015,1.0803387913377989,1.0877313909477495,U,0.5333333333333333,8.0,U,0.4666666666666666
14/01/2010,4029.2,4029.71,3993.5,4015.77,0.012852202653686766,-0.8762960316124345,-0.046347315699727346,1.004652678481701,1.0479402583683293,1.0728969804886228,1.0503886864348528,0.9601034132771827,0.958949459782308,1.0819444841629358,D,0.3333333333333333,9.0,D,0.6666666666666666
15/01/2010,4030.94,4044.08,3949.9,3954.38,0.29835221180774646,0.011747051840752355,-0.8764628874574268,0.9788546968742986,1.0060925280514528,1.0494862769447557,1.074453698641226,1.0021274919228056,0.9612339709012656,0.960447670495412,D,0.26666666666666666,10.0,D,0.7333333333333333
18/01/2010,3971.17,3982.79,3954.28,3977.46,-1.2465875540401128,0.29729796350984883,0.011572433878870735,0.935729008001309,0.9802731966996671,1.0076024000590034,1.0510229727518567,0.8290987737434091,1.0032858977946753,0.9627342043957533,U,0.7333333333333333,11.0,U,0.26666666666666666
19/01/2010,3968.73,4019.88,3930.91,4009.67,0.463780231296307,-1.2479172535364011,0.29712084963352847,0.9136326401530953,0.9371118181185518,0.9817607668946231,1.009103274069788,0.8941501308957216,0.8301425180504473,1.0048233654501855,U,0.5333333333333333,12.0,U,0.4666666666666666
20/01/2010,3996.36,4013.48,3915.96,3928.95,0.648646549280464,0.4627554775762711,-1.2480808611523189,0.9078724758849711,0.9149971638860566,0.9385621070623662,0.9832395394719083,0.9849345422421685,0.8952369830202596,0.8315266788551745,D,0.26666666666666666,13.0,D,0.7333333333333333
21/01/2010,3955.78,3966.2,3862.16,3862.16,-1.6379857935399795,0.6476547558414413,0.46257691748569796,0.8838592009114621,0.9092322326545086,0.91642835098453,0.9400039333560523,0.7574239031895387,0.9860815548000544,0.8966787806081122,U,0.6,14.0,D,0.39999999999999997
22/01/2010,3840.06,3859.65,3786.29,3820.78,-1.3559279830778406,-1.6393852764132648,0.6474745796020152,0.7749826533516686,0.885199084913808,0.9106584402121025,0.9178512470606506,0.5691751967682666,0.7584201504515585,0.987603789163664,U,0.6,15.0,D,0.39999999999999997
25/01/2010,3793.63,3833.44,3780.5,3781.85,-0.841420519772536,-1.3572771771543553,-1.639545462325204,0.5966158617769155,0.7762324339306103,0.886604533500162,0.9120764014879176,0.4525449905740431,0.5700466965809442,0.7597408059098872,U,0.5333333333333333,16.0,D,0.4666666666666666
26/01/2010,3748.03,3807.48,3741.36,3807.04,-0.7918123621535808,-0.8426779810187615,-1.3574398288881477,0.45771091688493604,0.5977180305982955,0.7775437610311607,0.8880019223215885,0.34282014941548367,0.4533392026272692,0.5712005599792666,U,0.6666666666666666,17.0,U,0.3333333333333333
27/01/2010,3769.66,3793.63,3737.29,3759.8,0.5065039915314209,-0.7930609786365551,-0.8428451307089997,0.4056616948424749,0.45869813155555467,0.5988751633584,0.7788478740369759,0.41381857604749234,0.3435416497124156,0.4543897293667644,U,0.6666666666666666,18.0,D,0.3333333333333333
28/01/2010,3812.19,3812.19,3688.79,3688.79,-0.9600751335060705,0.5054868551381033,-0.793228562014054,0.3480789379457159,0.4066058349190081,0.4597351839118284,0.6000264674413112,0.28067186409449246,0.4145871251279087,0.3444949580824536,U,0.5333333333333333,19.0,D,0.4666666666666666
29/01/2010,3712.02,3768.39,3696.0,3739.46,-1.4413755035480684,-0.9613537499819496,0.5053079215454404,0.2602033827339732,0.34897542401739917,0.4075978918173678,0.4607674864988468,0.08052901871382792,0.281352180363007,0.4156033395017132,D,0.4666666666666666,20.0,U,0.5333333333333333
